TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
org.apache.commons.math3.distribution.DiscreteDistribution,BRANCH,0.9615384615384616,26,25
org.apache.commons.math3.geometry.euclidean.threed.Line,BRANCH,1.0,27,27
